"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvs&ct=0&vs=INTL.44-1-AFG-QBTU.A&vo=0&v=H&end=2014"
"Wed Oct 11 2017 10:21:53 GMT+0300 (EEST)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"","Suriname","Quad Btu",0.009,0.009,0.011,0.008,0.009,0.012,0.013,0.008,0.012,0.02,0.021,0.023,0.027,0.027,0.029,0.029,0.03,0.025,0.029,0.036,0.03,0.03,0.031,0.031,0.031,0.023,0.027,0.031,0.037,0.037,0.037,0.037,0.037,0.035,0.035
"","Swaziland","Quad Btu",0.005,0.005,0.00498267643522,0.003683801183,0.004,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.004,0.003,0.008,0.006,0.005,0.007,0.012,0.013,0.012,0.01,0.013,0.012,0.013,0.011,0.008,0.006,0.004,0.003,0.004,0.003,0.006,0.006,0.006
"","Sweden","Quad Btu",*,0.987216664,0.953649992,1.069866656,1.2094345152,1.309216664,1.31715816472,1.40215816472,1.38912150907,1.39112117708,1.41612117708,1.41008078472,1.39204050302,1.3730224402,1.32918174318,1.39118176562,1.265,1.399,1.496,1.46,1.392,1.545,1.372,1.239,1.443,0.79477153699,0.759154751789,0.767871671807,0.638634504858,0.528693499424,0.562099163258,0.585981636456,0.62002768611,0.642715168251,0.62805615405
"","Switzerland","Quad Btu",0.475,0.515,0.522,0.52,0.49,0.549,0.558,0.580321966855,0.59926549817,0.54216117766,0.553132399,0.56811277,0.57910332,0.60908525041,0.65403792831,0.613,0.551,0.606,0.605,0.674,0.648,0.704,0.64,0.637,0.618,0.248401915599,0.294318189811,0.295292468837,0.27022925128,0.270220820461,0.260576462765,0.263965176853,0.251459581515,0.255980443621,0.272639804348
"","Syria","Quad Btu",0.41024724,0.408,0.4,0.412,0.426,0.44,0.477,0.569,0.645,0.83,1.002,1.256,1.236,1.41,1.427,1.438,1.511,1.478,1.501,1.48,1.462,1.366,1.42,1.402,1.38,1.244,1.191,1.131,1.105,1.123,1.25,1.097,0.604,0.352,0.247
"","Taiwan","Quad Btu",0.221360742,0.277,0.29,0.346,0.395,0.445,0.413,0.468,0.408,0.404,0.494,0.424,0.438,0.413,0.43,0.4346980625,0.455,0.4429772875,0.4576980625,0.4626980625,0.463,0.444,0.467,0.46,0.469,0.4391968244,0.42742475936,0.43577656452,0.40508640716,0.4129220368,0.40291700004,0.40870913152,0.39652720676,0.40781664864,0.414950676
"","Tajikistan","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.17630378,0.18230295,0.17416143,0.15130295,0.154164612,0.141151475,0.146009955,0.159009955,0.142,0.147,0.1537394961,0.165,0.164,0.003,0.003,0.0037394961,0.004,0.004,0.005,0.0046844098,0.007554622075,0.008480672465,0.00944369766
"","Tanzania","Quad Btu",0.01,0.011,0.011,0.011,0.011,0.012,0.011,0.012,0.013,0.015,0.016,0.018,0.017,0.017,0.016,0.016,0.019,0.015,0.022,0.024,0.024,0.029,0.029,0.027,0.028,0.015,0.018,0.02,0.021,0.024,0.029,0.033,0.023,0.027,0.023
"","Thailand","Quad Btu",0.0296799914,0.091679995,0.133,0.152,0.198,0.327,0.332,0.344,0.415,0.441,0.51,0.563,0.592,0.654,0.73,0.808,0.923,1.089,1.088,1.137,1.242,1.275,1.371,1.53,1.561,1.6330279972,1.7110386841,1.800019768,1.915009854,2.01201952,2.223019512,2.307,2.49,2.492,2.5
"","Timor-Leste (East Timor)","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,0.101,0.184,0.196,0.195,0.195,0.184,0.171,0.163,0.155,0.154,0.144
"","Togo","Quad Btu",0.00039474412502,0.00039721409956,0.00059587826391,0.0001998803458,0.00039672,0.000793972,0.000793896,0.000791844,0.000784624,0.00099104,0.00098819,0.002,0.001,0.002,0.002,0.003,0.002,0.000949809,0.002,0.002,0.001,0.00051665,0.000874878,0.001,0.0008203218,1.89981E-005,2.77732E-005,9.3898E-005,,,,,,,
"","Tonga","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Trinidad and Tobago","Quad Btu",0.550391898082,0.613188154047,0.503177718079,0.485157800273,0.57612528,0.611167152,0.52826115,0.495302151,0.507268424,0.5092608,0.515322462,0.5472609,0.51331026,0.535288652,0.561330112,0.580340296,0.61717578,0.629183834,0.625183546,0.732184068,0.81520402,0.843299657,0.943264498,1.253122892,1.354230506,1.477219978,1.712257894,1.758187796,1.763,1.806,1.79,1.719,1.703,1.783,1.754
"","Tunisia","Quad Btu",0.244794944076,0.262303137076,0.271407706181,0.268315600546,0.27468904,0.254,0.249532746,0.243,0.237485228,0.242354688,0.216457688,0.234,0.251661888,0.224649467,0.21241264,0.200422792,0.2167238,0.245735336,0.247764775,0.253961244,0.244877286,0.242795641,0.251946089,0.256,0.271,0.262419958,0.265376922,0.244425012,0.300384306,0.23794672,0.24,0.218,0.208,0.202,0.172
"","Turkey","Quad Btu",0.364611936,0.396,0.433,0.416,0.466,0.532,0.605,0.684,0.716,0.725,0.781,0.8,0.871,0.905,0.908,0.955,1.017,1.037,1.126,1.04,0.954,0.857,0.886,0.86,0.945,0.592529847,0.637932386,0.725,0.766,0.774,0.718,0.73,0.687,0.599,0.623
"","Turkmenistan","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,2.344041368,2.583051545,1.493041264,1.361041248,1.5500517,1.160051065,0.750061182,1.14705113,2.048051005,2.133030999,2.381030519,2.605030375,2.617030048,2.664,2.629,2.922,3.001,1.82,2.092,2.827,2.931,3.198,3.373
"","Turks and Caicos Islands","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Tuvalu","Quad Btu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"","U.S. Pacific Islands","Quad Btu",,,,,,0.000167152,0.00031338,0.00031257,0.00030972,0.00031296,0.00031206,0.00031308,0.00031026,0.00030927,0.00030948,0.00030936,0.0003102,0.00030639,0.00030591,0.00025565,0.000255025,0.000258325,0.000183114,0.00018225,0.000180288,,,,,,,,,,
"","U.S. Territories","Quad Btu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"","Uganda","Quad Btu",0.007,0.005,0.006,0.005,0.006,0.007,0.007,0.006,0.006,0.007,0.008,0.008,0.01,0.01,0.01,0.011,0.011,0.013,0.013,0.013,0.016,0.016,0.017,0.018,0.019,,0.00079352,0.00079072,,,,,,,
"","Ukraine","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,4.568,4.146,3.623,3.37,3.046,3.085,3.105,3.114,3.115,3.124,3.122,3.263,3.252,3.1512257977,3.19164025411,3.24802973678,3.22098581842,3.0467124793,3.0187760207,3.17014019299,3.20805282379,3.140849778,2.72079883457
"","United Arab Emirates","Quad Btu",3.887414192,3.454,2.999,2.909,3.004,3.292,3.678,4.21,4.222,4.994,5.512,6.242,6.11,5.784,5.836,6.14,6.341,6.501,6.606,6.254,6.767,6.593,6.498,7.13,7.425,7.589,7.868,7.914,8.129,7.519,7.64,8.462,8.917,8.988,9.18
"","United Kingdom","Quad Btu",8.251093888,8.567,9.203,9.722,8.649,9.916,10.313,10.027,9.681,8.69,8.675,9.019,9.011,9.345,10.179,10.808,11.508,11.206,11.445,11.808,11.053,11.082,10.928,10.416,9.345,8.4456638938,7.68478234094,7.20039409103,6.74561889911,6.34437696548,5.87685726405,4.95128753438,4.4803442048,4.09387886708,3.99744921602
"","United States","Quad Btu",67.174671852,66.9512,66.5697,64.1148,68.8389,67.6987,67.0667,67.5416,68.9195,69.3208,70.7039,70.3625,69.9553,68.3159,70.727,71.1755,72.487,72.4723,72.8762,71.7417,71.3327,71.7338,70.7121,69.9389,70.2336,66.732,67.876,68.964,69.925,69.228,70.431,72.641,74.056,76.388,82.019
"","Uruguay","Quad Btu",0.023,0.026,0.025,0.075,0.073,0.067,0.075,0.075,0.055,0.04,0.073,0.064,0.082,0.075,0.077,0.06,0.059,0.066,0.093,0.056,0.072,0.094,0.096,0.086,0.048,0.000389961,0.00049595,0.001,2.9562E-005,0.00040992,,,,,
"","Uzbekistan","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,1.791,1.906,2.046,2.14,2.15,2.17,2.38,2.379,2.405,2.648,2.448,2.455,2.539,2.413,2.493,2.595,2.673,2.385,2.374,2.502,2.503,2.378,2.437
"","Vanuatu","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Venezuela","Quad Btu",5.766051992,5.667,5.251,5.031,5.056,4.816,5.215,5.169,5.583,5.764,6.304,6.959,6.954,7.26,7.699,8.077,8.617,9.462,9.416,8.51,9.337,9.196,8.128,7.29,8.032,7.233,7.141,6.875,6.856,6.738,6.516,6.99,6.799,6.718,6.779
"","Vietnam","Quad Btu",0.116,0.1333591,0.142,0.143,0.117,0.129,0.143,0.156,0.174,0.213,0.259,0.348,0.421,0.466,0.537,0.682,0.736,0.774,0.913,1.006,1.118,1.287,1.341,1.452,1.723,1.67149995,1.765644735,1.783780836,1.725009854,1.8780976,1.871,1.895,1.898,1.884,1.74
"","Virgin Islands,  U.S.","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Virgin Islands, British","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Wake Island","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Western Sahara","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Yemen","Quad Btu",,,,,,,0.021,0.042,0.363,0.406,0.403,0.412,0.381,0.46,0.7,0.721,0.712,0.756,0.811,0.855,0.917,0.921,0.918,0.897,0.847,0.836,0.783,0.666,0.625,0.626,0.825,0.822,0.645,0.668,0.617
"","Zambia","Quad Btu",0.106,0.112,0.117,0.114,0.113,0.114,0.113,0.097,0.097,0.079,0.088,0.088,0.088,0.086,0.082,0.083,0.077,0.082,0.079,0.082,0.081,0.085,0.084,0.085,0.086,0.003,0.001,(s),(s),0.001,,,0.001,0.004,0.004
"","Zimbabwe","Quad Btu",0.105,0.1,0.097,0.099,0.099,0.104,0.116,0.138,0.135,0.146,0.162,0.176,0.168,0.142,0.131,0.127,0.124,0.114,0.115,0.137,0.131,0.125,0.125,0.12,0.112,0.067,0.049,0.048,0.045,0.04,0.062,0.059,0.081,0.115,0.129
"","Consumption",""
"","Afghanistan","Quad Btu",0.026,0.031,0.031,0.038,0.038,0.038,0.038,0.063,0.111,0.11,0.049,0.0473412,0.0313412,0.0303412,0.0303412,0.0243412,0.0253412,0.0243412,0.0233412,0.0233412,0.0223412,0.0173412,0.0183412,0.0150806961,0.0160806961,0.0199971661,0.0255318831,0.03347114,0.05890679054,0.094515596,0.1176913956,0.1344453436,0.134234612,0.302005344,0.308
"","Albania","Quad Btu",0.172294,0.174294,0.1749528,0.1819528,0.1859528,0.1859528,0.18296986,0.1849528,0.187294,0.1786352,0.1306824,0.1059528,0.086294,0.075938584,0.072,0.077429912,0.0873176,0.0773961772,0.0843648,0.0957609772,0.0967532,0.091906172,0.094308504,0.1140708,0.1166824,0.121450533,0.118193701,0.1033275468,0.104345994,0.114637508,0.12814272955,0.1084121526,0.104440784775,0.127134134925,0.116
"","Algeria","Quad Btu",0.786030708,0.667047768,0.97096588,1.069,1.141354848,1.0446588,1.0676588,1.1426588,1.216,1.1736588,1.2376588,1.3526116,1.296588,1.1949056,1.234134204,1.2899764,1.2566588,1.201755762,1.247,1.244,1.266540653,1.271702644,1.314228488,1.326,1.296,1.493776059,1.567422288,1.551234488,1.678591932,1.775848096,1.785449428,2.001344348,2.115694668,2.028816239,(s)
"","American Samoa","Quad Btu",0.006,0.007,0.01,0.006,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.005,0.005,0.005,0.005
"","Angola","Quad Btu",0.059,0.058,0.061,0.066,0.06,0.073,0.074,0.076,0.078,0.077,0.079,0.082,0.086,0.084,0.082,0.088,0.084,0.093,0.085,0.094,0.11,0.12,0.129,0.142,0.157,0.132967803,0.167166322,0.194433248,0.227576962,0.25889488,0.279765496,0.293543372,0.328532744,0.348023979,0.359
"","Antarctica","Quad Btu",0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003019998,0.003019838,0.003019768,0.003019708,0.00303904,0.003,0.000188063146672,0.000188585055106,0.000188063146672,(s)
"","Antigua and Barbuda","Quad Btu",0.006,0.005,0.007,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.009,0.009,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.01
"","Argentina","Quad Btu",1.638075064,1.595058004,1.67615354,1.697979528,1.83998294,1.746979528,1.902979528,1.949658516,1.957999716,1.941023316,1.880886552,1.97071908,2.04322548,2.202745524,2.233056868,2.3055064,2.3867042,2.452213195,2.563291301,2.60678271,2.667451435,2.610306717,2.469532229,2.662199998,2.78066428554,3.101148044,3.30226956816,3.33751842717,3.4685664654,3.40075441756,3.52871833124,3.6614988639,3.64906821145,3.71207854777,(s)
"","Armenia","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.198846176,0.148,0.14106824,0.13205118,0.168,0.1436588,0.1516352,0.1533176,0.1606352,0.1616352,0.1616352,0.1729764,0.1786116,0.200141982,0.2029680668,0.21957373645,0.21506111562,0.19924599,0.130785267,0.141585861,0.150366872,0.147005675,(s)
"","Aruba","Quad Btu",--,--,--,--,--,--,0.001,0.001,0.006,0.007,0.008,0.009,0.009,0.01,0.01,0.012,0.008,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.015,0.015,0.016,0.014,0.014,0.0142928,0.014,0.013,0.013,0.016,0.016
"","Australia","Quad Btu",2.665,2.643,2.887,2.788,2.898,3.05,3.103,3.243,3.38,3.576,3.645,3.635,3.7061075568,3.773113399,3.863175372,3.984237176,4.14226884,4.26230639,4.441367092,4.559634012,4.599979296,4.647454652,4.76850865,4.882604219,5.065691518,5.293334765,5.366295502,5.390313264,5.415467644,5.43951024,5.415758908,5.71276248,5.5544324,5.671753982,(s)
"","Austria","Quad Btu",1.1306932,1.120646,1.0609872,1.068058,1.1035644,1.1221996,1.1082232,1.0568928,1.1307876,1.1471524,1.192294,1.2497296,1.2170472,1.241621909,1.232280716,1.288490624,1.34613284,1.343495086,1.369479259,1.386717978,1.36830207,1.429051665,1.428122076,1.453656338,1.48643644,1.538386647,1.522546295,1.495662884,1.497693392,1.44050184,1.490085556,1.421957848,1.462159012,1.4573681414,(s)
"","Azerbaijan","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.991294,0.839,0.7616824,0.7303648,0.6456824,0.6374356,0.5446588,0.5633884,0.529706,0.6066824,0.591118,0.6014592,0.6367768,0.658888245,0.700754511,0.595316504,0.642743788,0.56838036,0.567062084,0.56242776,0.60331828,0.607092441,(s)
"","Bahamas, The","Quad Btu",0.06,0.063,0.054,0.041,0.037,0.033,0.033,0.036,0.034,0.038,0.041,0.037,0.031,0.033,0.036,0.043,0.048,0.048,0.054,0.048,0.047,0.047,0.047,0.057,0.057,0.066,0.066,0.063,0.043,0.049,0.049,0.049,0.049,0.053,0.053
"","Bahrain","Quad Btu",0.138,0.158,0.168,0.178,0.171,0.205,0.22,0.266,0.229,0.235,0.257,0.287,0.241,0.287,0.283,0.284,0.284,0.335,0.352,0.356,0.365,0.377,0.398,0.408,0.419,0.457,0.489010236,0.522044356,0.546361574,0.557592736,0.545590276,0.54840944,0.59047114,0.690058004,0.742
"","Bangladesh","Quad Btu",0.121,0.132,0.142,0.136,0.166,0.173,0.186,0.203,0.226,0.246,0.237,0.256,0.285,0.315,0.347,0.38,0.385,0.40100020426,0.41900050985,0.4650010226,0.5010051005,0.550010333,0.582020346,0.632030723,0.673040088,0.7188537145,0.782757653,0.817353696,0.888292322,0.9620504,0.947092612,0.98940434,1.07732732,1.106481949,(s)
"","Barbados","Quad Btu",0.01436645,0.01536645,0.01536645,0.0164188,0.0154188,0.0174188,0.0184188,0.01736645,0.0159714066,0.018,0.018,0.018834064,0.0188046822,0.019,0.01781666,0.0179695994,0.016,0.02,0.021,0.021,0.024,0.023,0.023,0.023,0.016,0.022,0.021,0.019,0.017,0.0207394961,0.019,0.0207394961,0.02,0.024,0.024
"","Belarus","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,1.527353814,1.284667871,1.072502804,1.00743144,1.00682624,0.995534073,0.971240316,0.983078294,1.047841827,0.95900519,0.905003644,0.9823435,0.94860015,1.121430766,1.152155871,1.150047344,1.121997422,1.049279852,1.127568484,1.165493988,1.146856844,1.187577658,(s)
"","Belgium","Quad Btu",2.1281288,1.8970236,1.7870236,1.7716352,1.8503648,1.928,2.0073176,2.074897314,2.127917392,2.142543024,2.188448414,2.267941888,2.286434278,2.252588872,2.374740844,2.405082008,2.56441312,2.587341304,2.632888967,2.597203738,2.655199616,2.636113921,2.657534661,2.760761608,2.777988422,2.76277575764,2.74603194383,2.74670554939,2.88439324398,2.66479207776,2.84847724077,2.6879713955,2.56553748198,2.61682683968,2.476
"","Belize","Quad Btu",0.0034155201316,0.0034181201048,0.0034181601852,0.003420800728,0.0034176,0.00341788,0.00441784,0.00341676,0.00241296,0.00341728,0.00541608,0.00541744,0.00441368,0.00441236,0.00441264,0.00582496,0.005034,0.007103004,0.0070727244,0.0071780352,0.01035907923,0.014042264132,0.013989355829,0.01371357968,0.0147187465,0.015954589195,0.016878494997,0.017916807772,0.010861112066,0.0095721648,0.01011204068,0.00996416348,0.009805658,0.0102742975,(s)
"","Benin","Quad Btu",0.0063412,0.0063412,0.0046824,0.0066824,0.0066824,0.0076824,0.0076824,0.0056824,0.0076824,0.0076824,0.0086824,0.0096824,0.0116824,0.0126824,0.0126824,0.0140236,0.015041178,0.0170409621,0.0180409349,0.0190409842,0.024385202,0.024385466,0.025385146,0.03072625,0.036057216,0.037040139,0.044062675,0.048015084,0.05229816,0.065974312,0.073209732,0.06617212,0.066318436,0.084553219,(s)
"","Bermuda","Quad Btu",0.008,0.007,0.007,0.008,0.008,0.007,0.007,0.01,0.011,0.013,0.009,0.008,0.006,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.007,0.008,0.008,0.009,0.009,0.009,0.012,0.008,0.01,0.01,0.01,0.01,0.006,0.006
"","Bhutan","Quad Btu",0.00011738801974,0.00041964301834,0.00054451603704,0.0004958081456,0.000457228,0.000599228,0.00244098674066,0.00878917804521,0.01176073075,0.0117621660452,0.012233436,0.01224026,0.013233436,0.013233436,0.012892236,0.014895648,0.015895648,0.0176497,0.01627438,0.016294852,0.01629144,0.017277792,0.019622688,0.020919816,0.019612452,0.022683872,0.03498181,0.048686832,0.052820598,0.055424496,0.058873604,0.055808332,0.053510976,0.061261283,0.06
"","Bolivia","Quad Btu",0.0744846721513,0.0842506550603,0.0732506781065,0.0754415567462,0.072417396,0.067372469,0.068393326,0.067496517,0.077502376,0.087489912,0.092353336,0.090420252,0.098499086,0.096487643,0.108508496,0.123504984,0.121475744,0.135514108,0.125530322,0.140565872,0.161605446,0.144592102,0.15758005,0.198583722,0.20156827,0.197007999,0.207774992239,0.235307529588,0.240482082,0.23834592,0.242204656,0.240736188,0.282295168,0.297491747,(s)
"","Bosnia and Herzegovina","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.1513412,0.1090472,0.1136824,0.1879764,0.1181996,0.1701524,0.2011524,0.203058,0.216588,0.2162468,0.2212468,0.199588,0.2065172,0.197675738,0.198317866,0.187099912,0.211863832,0.24808564,0.270456628,0.26511612,0.24756014,0.252744384,0.25
"","Botswana","Quad Btu",0.013,0.01403412,0.013279784,0.0136824,0.0126824,0.0176824,0.0186824,0.020245664,0.023245664,0.02622178,0.029286608,0.0303412,0.03527296,0.0346824,0.0350236,0.0350236,0.0343884,0.0373884,0.0423884,0.0430708,0.052412,0.0450944,0.046118,0.0454828,0.0514828,0.0567387,0.054530284,0.057594828,0.065307936,0.061529716,0.06918482,0.063710268,0.062164064,0.076618428,0.071
"","Brazil","Quad Btu",4.0096588,3.893092408,3.960885364,3.955358548,4.3165772,4.588175152,4.98732188,5.10396988,5.263388704,5.437033292,5.757864116,5.976096704,6.085272704,6.318498468,6.63213096415,7.03342,7.458473384,7.8594945773,8.1040927087,8.2854844146,8.5607237741,8.4739982163,8.5408314503,8.6142612531,8.9888324602,9.29588259576,9.52912835756,10.0339521088,10.4823041671,10.4285063594,11.4665254806,11.8782607729,12.2647115936,12.6705786837,(s)
"","Brunei","Quad Btu",0.082,0.085,0.093,0.073,0.064,0.076,0.051,0.081,0.072,0.083,0.075,0.038,0.055,0.052,0.051,0.062,0.058,0.062,0.056,0.062,0.065,0.073,0.085,0.09,0.1,0.12,0.18,0.187,0.193,0.128,0.148,0.152,0.146,0.136,0.153
"","Bulgaria","Quad Btu",1.3009656,1.2856008,1.3368712,1.3601888,1.3601888,1.386354,1.4013068,1.4026716,1.4080128,1.3110364,1.1846244,0.9431652,0.9358712,0.9106824,0.929,1.0166588,1.021294,0.933058,0.867737194,0.785813754,0.885457815,0.9084336,0.881616303,0.891295446,0.87606964,0.89555158,0.920271745,0.822099572512,0.820726172,0.739788918,0.756687496,0.825579916,0.802854466,0.741123103,0.796
"","Burkina Faso","Quad Btu",0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007093618,0.008135668,0.00820684,0.009484523,0.009742752,0.009969328,0.011,0.017,0.015795366,0.016,0.016989497,0.016772841,0.016992272,0.018207428,0.018327552,0.018421080532,0.018266409259,0.020513322852,0.029789145334,0.02577168144,0.026445316,0.026475936,0.026680232,0.04482653,(s)
"","Burma (Myanmar)","Quad Btu",0.073,0.076,0.083,0.094,0.102,0.106,0.093,0.089,0.085,0.089,0.087,0.086,0.089,0.093,0.109,0.116,0.118,0.126,0.138,0.142,0.167,0.165,0.186,0.209,0.217,0.284667033,0.266653348,0.287414372,0.25871162,0.23978128,0.240306824,0.263316188,0.271159008,0.352340635,0.427
"","Burundi","Quad Btu",0.00115384400658,0.00216079800524,0.00114715200926,0.0023647924186,0.00252658,0.002623866,0.002725918,0.00302033,0.005040944,0.005044356,0.005054592,0.006078476,0.006078476,0.00611942,0.006146716,0.006098948,0.00611942,0.00611942,0.007098948,0.007111342,0.006102058,0.00711942,0.00711942,0.007177424,0.007116396,0.006192157,0.006168448,0.006409268,0.004353106,0.004485104,0.004699736,0.004795188,0.005240988,0.005688286,0.006
"","Cambodia","Quad Btu",0.00450901216121,0.00455400913886,0.00557497025465,0.005420800728,0.0063132,0.006365645,0.00641784,0.006468855,0.0065162,0.006563328,0.006644924,0.007667904,0.007692914,0.007711321,0.007732436,0.020752776,0.02379618,0.027582141,0.03250985,0.032449944,0.034479447,0.039327147,0.042329074,0.046541409,0.052482172,0.055688889,0.060828983,0.065974128,0.074532952,0.06502026,0.06007886,0.066240868,0.070514604,0.092697797,(s)
"","Cameroon","Quad Btu",0.047,0.052,0.06,0.06,0.061,0.064,0.07,0.066,0.067,0.077,0.078,0.079,0.079,0.069,0.074,0.076,0.076,0.08,0.08,0.078,0.082,0.082,0.078,0.083,0.087,0.085336266,0.097938333,0.0991388361,0.1077865141,0.1082382161,0.1184561521,0.124886424,0.130471548,0.138616037,(s)
"","Canada","Quad Btu",9.5746528,9.2554276,8.758346,8.7472152,9.37762712,9.75968174,9.88628178,10.18747857,10.62150528,10.76319296,10.59831206,10.70987348,11.024370722,11.314212828,11.652479872,11.805597016,12.14819212,12.149885087,11.826504094,12.448079718,12.488637246,12.531442317,12.704464996,13.055482773,13.263898946,13.3161903467,13.4080997611,13.4375542004,13.1426049102,12.8600201266,13.3278787224,13.8266287893,13.7985935954,14.4362371137,14.583
"","Cape Verde","Quad Btu",0.005,0.005,0.002,0.002,0.002,0.002,0.000801186915288,0.000887331783781,0.001,0.001,0.001,0.002,0.002,0.002020618,0.00205158,0.002061872,0.00207238,0.002071491,0.002081576,0.002081808,0.003081608,0.002061998,0.002061038,0.002051205,0.004060132,0.004059994,0.004069433,0.005069188,0.005059124,0.00506832,0.005,0.005,0.005,0.011,0.011
"","Cayman Islands","Quad Btu",0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.007,0.008,0.01,0.008,0.008,0.008,0.008,0.008,0.008
"","Central African Republic","Quad Btu",0.00268560821714,0.0036794451703,0.00371087231484,0.0036732811648,0.00372036,0.00362682,0.003793896,0.003760587,0.003763976,0.003771968,0.003790552,0.0047827,0.004796334,0.004793793,0.004814964,0.00482496,0.00483754,0.004847679,0.004825957,0.004828306,0.005846683,0.005847306,0.005834186,0.005840375,0.006,0.005329867,0.006378741,0.006344224,0.006340144,0.0063176,0.006307304,0.0064574,0.00647498,0.00724033,0.007
"","Chad","Quad Btu",0.004,0.004,0.004,0.004,0.002,0.002,0.004,0.003,0.002,0.002,0.005,0.005,0.005,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005
"","Chile","Quad Btu",0.425,0.406,0.349,0.382,0.391,0.39,0.396,0.41,0.45,0.503,0.57,0.572,0.633,0.673,0.723,0.788,0.846,0.937,0.927,0.9673412,0.9840944,1.019849131,1.047212811,1.108872087,1.181552954,1.245566399,1.268909975,1.26197624792,1.280704936,1.293504336,1.26018342,1.335286976,1.340984004,1.374644391,1.396
"","China","Quad Btu",17.6850236,17.5146824,18.1130236,19.2403648,20.67762724,21.72361672,22.46895792,23.74629912,25.37598152,25.50132272,27.984217328,26.068668396,27.098212214,29.269257234,31.53961662,34.131989752,35.40316186,34.759778811,35.217917558,36.946442242,39.50420202,41.891269592,44.95772252,52.224761183,60.836868296,67.9888918335,75.0746168048,80.8245536506,84.5342607058,90.9338548863,99.6095812475,109.391012879,117.191397226,122.453206678,123.184
"","Colombia","Quad Btu",0.6890853,0.704225192,0.748129656,0.751133068,0.83210236,0.85301706,0.89501706,0.846,0.907,0.9596824,0.9456824,0.9686824,0.9670236,1.0620236,1.1100236,1.1280236,1.196672164,1.2153412,1.222071652,1.172044356,1.197214956,1.19645408,1.185980096,1.2131615,1.23288452,1.263556842,1.314233078,1.33453336652,1.337743468,1.351889568,1.406482812,1.536721028,1.595951422,1.608113852,(s)
"","Comoros","Quad Btu",0.00063377600658,0.00063190600524,0.00063190800926,0.0006320400364,0.00064188,0.000547894,0.000548973415397,0.000871548335178,0.00091248849,0.000915147888603,0.001020804,0.001020872,0.001020684,0.001020618,0.001020632,0.001020624,0.00102068,0.001020426,0.001020394,0.001020452,0.001020402,0.001020666,0.001030519,0.0010405,0.00105008,0.002049995,0.002049595,0.00204942,0.00204927,0.0020488,0.00204878,0.00204858,0.002028548,0.003019082,(s)
