,age_dependency_ratio_normalized,ages_65_and_older_percentage_normalized,agricultproductstotal-export_value_base_price_normalized,agricultproductstotal-import_value_base_period_price_normalized,annual_co_emissions_per_country_normalized,births_per_1000_normalized,co_emissions_per_capita_international_normalized,daily_per_capita_fat_supply_normalized,daily_per_capita_protein_supply_normalized,daily_per_capita_supply_of_calories_normalized,deaths_per_1000_normalized,democracy_scores_normalized,exports_of_goods_and_services_percentage_of_gdp_normalized,fertility_rate_normalized,food_excl_fish-export_value_base_price_normalized,food_excl_fish-import_value_base_period_price_normalized,gross_capital_formation_normalized,historical_gov_spending_gdp_normalized,imports_of_goods_and_services_percentage_of_gdp_normalized,infant_mortality_per_1000_normalized,life_expectancy_female_normalized,life_expectancy_male_normalized,life_expectancy_normalized,military_expenditure_as_share_of_gdp_normalized,population_estimates_and_projections_normalized,pupil-teacher_ratio_processed,rural_population_percentage_normalized,share_of_a_countrys_population_that_is_not_born_within_the_country_normalized,surface_area_sq_km,trade_as_share_of_gdp_normalized,young_pregnancies_normalized,gdp_in_15_years
Aruba : 1991,0.701534555837,1.1859449516,5.28474511573e-06,0.000243098424427,9.51977603845e-05,0.754440340094,0.0335237735493,,,,0.754440340094,,,0.700991351282,3.8884843185e-06,0.00022026971415,,,,,1.11850119649,1.11854930187,1.11899940363,,9.69984764548e-06,,0.87624530226,,180.0,,0.760375136121,
Aruba : 1992,0.688763106143,1.13627679043,1.79350662069e-06,0.000160971668639,6.81258576559e-05,0.750555892418,0.0226174366905,,,,0.750555892418,,,0.709759105754,9.1350439908e-07,0.000148391165769,,,,,1.11623971784,1.11637492252,1.11676720957,,1.00889718117e-05,,0.886957999112,,180.0,,0.754871045825,
Aruba : 1993,0.684599558291,1.09773036796,1.77122863184e-06,0.000188420870199,7.35415319462e-05,0.738770713125,0.0228406106057,,,,0.738770713125,,,0.717788121415,9.23579597888e-07,0.000172313377492,,,,,1.11406566854,1.11520543694,1.11511785461,,1.05678016311e-05,,0.899964989139,,180.0,,0.757739977928,
Aruba : 1994,0.6844927986,1.07221577001,3.04411376672e-06,0.000176480432614,7.41240266799e-05,0.72581235988,0.0219767575653,,,,0.72581235988,,3.82030011735,0.721226122899,1.94507835581e-06,0.000165467272282,1.25088853231,,3.6731409838,,1.11052942181,1.11254229276,1.11203198006,,1.10271021977e-05,,0.913066879088,,180.0,0.155984880302,0.761998849033,1.42029550033
Aruba : 1995,0.68428247136,1.05932469171,3.03382713303e-06,0.000146542157456,7.51439626203e-05,0.714636656007,0.0218532818533,,,,0.714636656007,,3.85586525463,0.722612233536,1.94604396375e-06,0.000133952819792,1.20205721731,,4.00138734088,,1.10800366,1.10927381493,1.10912258675,,1.13961422431e-05,,0.926572170453,0.0112334611794,180.0,0.171319796954,0.768860174432,1.47623461201
Aruba : 1996,0.698510309694,1.05640458874,2.96842750359e-06,0.000140540408825,7.4085644934e-05,0.699407063788,0.0213708124759,,,,0.699407063788,,3.88795476539,0.720872375426,1.85463736776e-06,0.000123179085167,1.36755775929,,4.07242291792,,1.10422576881,1.10425061757,1.10470248566,,1.16540713507e-05,,0.940022157687,,180.0,0.175344129555,0.779344158645,1.52694734985
Aruba : 1997,0.70957178772,1.06034399173,1.86699996168e-06,0.000137700732278,7.62450162429e-05,0.686121177253,0.0213131660364,,,,0.686121177253,,3.55293259351,0.717557241064,1.4563188888e-06,0.000120876286643,1.40091729704,,3.81372445443,,1.10034064938,1.09912166056,1.10017455104,,1.18224202614e-05,,0.953699480593,,180.0,0.168781911014,0.792268144318,
Aruba : 1998,0.718540780732,1.0707670528,3.3430712051e-06,0.000157512397924,7.89050681853e-05,0.67609337942,0.021560457204,,,,0.67609337942,,3.38315516218,0.712607729343,2.5916042408e-06,0.000149999656409,1.31761112998,,3.65945886266,,1.09695794579,1.09485021005,1.0963441038,,1.19309714763e-05,,0.967647401048,,180.0,0.163267359946,0.786231933582,
Aruba : 1999,0.727940548065,1.08395160174,1.37814240021e-05,0.00027730704817,7.81675001098e-05,0.667567888501,0.0215435697463,,,,0.667567888501,,3.34091287349,0.707759745676,1.06168901369e-05,0.000268117294654,1.15924400522,,3.67653272076,,1.09404864533,1.09114031474,1.09304945886,,1.20247714875e-05,19.2304401398,0.981872053807,,180.0,0.164591203738,0.782066411713,
Aruba : 2000,0.7390537543,1.10032268893,0.000164314492191,0.000468301835111,9.98929806018e-05,0.65518015227,0.0268624374206,,,,0.65518015227,,2.8414341186,0.701600649971,0.000121393940102,0.000489149585158,1.0466464846,,2.80640297088,,1.09049618668,1.08704273402,1.08922612122,,1.2132551448e-05,19.0596694946,0.996480757855,0.0140654119613,180.0,0.145072879516,0.779455135205,
Afghanistan : 1961,1.11353575174,0.55921123739,,,6.52313497973e-05,1.65302042841,8.61846074291e-05,0.00395783653745,0.00781238499021,0.00766948827456,1.65302042841,0.70266472611,0.372204815832,1.48630570416,,,,,0.647040071006,1.99750830565,0.609636760396,0.625028027775,0.617584749838,,0.00241917902741,,1.38779082434,,652860.0,0.0125506095642,1.6811514413,3.3238529145
Afghanistan : 1962,1.10865063539,0.555473808596,,,8.86419069703e-05,1.4735885646,0.00018573551263,0.00387375732831,0.00756909605035,0.00737467228595,1.4735885646,0.700880502834,0.419420298656,1.47900443056,,,,,0.782164461592,1.99577702703,0.61289885747,0.628541092412,0.620974988592,,0.00242099274486,,1.39266279483,,652860.0,0.0142276444263,1.69119597942,3.86380987891
Afghanistan : 1963,1.1008955611,0.550745520118,,,8.63715147639e-05,1.42811138812,0.000147394796964,0.00391808689274,0.00697986771558,0.00678699452865,1.42811138812,0.699819589396,0.775914848342,1.47277148274,,,,,1.37339940277,1.99742046432,0.614670516484,0.630777642687,0.622976763486,,0.0024230195159,,1.39631622827,,652860.0,0.0260355114282,1.71793196099,3.16423786721
Afghanistan : 1964,1.09669549786,0.543781384062,,,9.77338132106e-05,1.47540231814,0.000139275766017,0.0039228957114,0.00751013314767,0.00734893374512,1.47540231814,0.794360977034,0.74924598984,1.46986651082,,,,,1.48741841008,1.96643717728,0.614714091917,0.631230520781,0.623219107668,,0.00242485809219,,1.39996317446,,652860.0,0.0269444479475,1.74425555466,3.38044036134
Afghanistan : 1965,1.09831378568,0.534437506465,,,0.000112423996268,1.50345556676,0.000202826042864,0.00395115406915,0.00751853409206,0.00729822482285,1.50345556676,0.853124388878,0.93591113761,1.47532300539,,,,,1.76750492671,1.95644599303,0.614856979307,0.631730775765,0.623533221392,,0.00242632951865,,1.39979115448,0.000328469150118,652860.0,0.0326710826153,1.76769079218,2.71378793329
Afghanistan : 1966,1.1057059674,0.530259327426,,,0.000116798162585,1.55101212772,0.00020410940264,0.00391772291549,0.00704401418946,0.00673035545228,1.55101212772,0.89121449951,0.699459550034,1.49099160653,,,0.354470165125,,1.47896880771,1.94620811287,0.614154510686,0.631421740163,0.623024539755,,0.00242663243503,,1.39891225454,,652860.0,0.0271428573129,1.78982729298,1.93251831004
