,South Africa,Israel,Australia & New Zealand,Australia,Iraq,Pakistan,Libya,Italy,Qatar,Lebanon,Yemen,Albania,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Morocco,Slovenia,Chile,Malta,Argentina,Colombia,Spain,Syrian Arab Republic,India,Cyprus,Ecuador,Japan,Jordan,Afghanistan,Venezuela (Bolivarian Republic of),Egypt,The former Yugoslav Republic of Macedonia,Mexico,Azerbaijan,France,Tunisia,Croatia,Montenegro,Turkey,Cameroon,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,Greece,China,"China, mainland",Tajikistan,Algeria,United Arab Emirates,Bosnia and Herzegovina,Portugal,Brazil
1991,22943.0,42105.0,35020.0,35020.0,33333.0,89804.0,24904.0,28290.0,30189.0,114744.0,77410.0,125000.0,,,,,15000.0,,,34049.0,32362.0,,23075.0,27328.0,22727.0,122727.0,10000.0,,41770.0,25682.0,,52133.0,,32869.0,,45788.0,19896.0,,,51982.0,25000.0,60980.0,20783.0,22792.0,64259.0,63021.0,45916.0,16364.0,16364.0,,9334.0,55524.0,,4511.0,76309.0
1992,23650.0,67677.0,33568.0,33568.0,39794.0,78429.0,28037.0,31383.0,30000.0,116804.0,75802.0,125000.0,100000.0,,17310.0,,11250.0,38000.0,,33226.0,32423.0,,23941.0,31696.0,22917.0,130435.0,,,55556.0,28084.0,,87169.0,107826.0,42157.0,,51724.0,21053.0,56810.0,,41754.0,24870.0,57647.0,,19168.0,61156.0,73177.0,45699.0,18182.0,18182.0,,20977.0,46990.0,27273.0,4126.0,79743.0
1993,23298.0,63750.0,32161.0,32161.0,41054.0,73846.0,25470.0,33120.0,30000.0,116667.0,73533.0,131250.0,96881.0,,20204.0,,12500.0,34122.0,,32404.0,32484.0,,23398.0,43113.0,23077.0,136170.0,,,66667.0,27273.0,,88889.0,106000.0,48978.0,,52743.0,20000.0,56313.0,,45330.0,24902.0,60485.0,,20971.0,62508.0,96243.0,47207.0,18182.0,18182.0,,20275.0,48351.0,27273.0,4023.0,78728.0
1994,21782.0,61111.0,30000.0,30000.0,42360.0,81392.0,25790.0,33578.0,30172.0,118000.0,73533.0,122222.0,98392.0,44659.0,19322.0,,16250.0,35600.0,,31543.0,32546.0,,24527.0,35518.0,22979.0,93939.0,,,82285.0,29674.0,,101657.0,61429.0,54828.0,,41786.0,19737.0,53770.0,,46866.0,24934.0,60811.0,,20000.0,63830.0,87627.0,51462.0,27273.0,27273.0,,10915.0,50103.0,26467.0,3908.0,68600.0
1995,23727.0,60870.0,29485.0,29485.0,43708.0,81250.0,26077.0,34259.0,29836.0,141667.0,76845.0,127778.0,98580.0,45033.0,17846.0,,15952.0,40500.0,,30667.0,32607.0,,26744.0,44959.0,22964.0,106061.0,10000.0,,61425.0,30757.0,,130266.0,106000.0,38266.0,,40987.0,20000.0,46600.0,,49536.0,25000.0,60748.0,,21057.0,67423.0,79899.0,49153.0,33333.0,33333.0,,14961.0,50102.0,25000.0,3782.0,70805.0
1996,24109.0,67949.0,28214.0,28214.0,44620.0,82353.0,25727.0,41935.0,29848.0,124876.0,77804.0,119000.0,99784.0,50334.0,23917.0,,9161.0,40714.0,,30769.0,32668.0,,30697.0,42600.0,22938.0,112121.0,10000.0,,69413.0,31535.0,,88696.0,109286.0,37369.0,,68641.0,19737.0,51180.0,,47835.0,24998.0,60000.0,,20640.0,62359.0,66982.0,55901.0,26667.0,26667.0,,15506.0,52083.0,22727.0,3646.0,53316.0
1997,23350.0,72308.0,26983.0,26983.0,46479.0,65114.0,25524.0,37903.0,29841.0,90500.0,79284.0,115000.0,100261.0,46141.0,26095.0,,12190.0,45000.0,,29167.0,32843.0,,30215.0,41805.0,22957.0,115152.0,10000.0,,57325.0,27778.0,,88574.0,60909.0,38513.0,,67320.0,17333.0,55430.0,,42632.0,25000.0,60179.0,,19227.0,62844.0,79247.0,51333.0,30000.0,30000.0,,12992.0,52632.0,24961.0,3503.0,67051.0
1998,22677.0,84746.0,25791.0,25791.0,42162.0,48529.0,25000.0,29412.0,29836.0,50000.0,84584.0,120000.0,100000.0,48996.0,24906.0,,13262.0,37333.0,,31091.0,32775.0,,30014.0,43885.0,22977.0,115152.0,10004.0,,46744.0,28333.0,,92837.0,149500.0,30770.0,77778.0,69694.0,15294.0,55700.0,,42557.0,25061.0,60179.0,,20054.0,58769.0,70331.0,47452.0,30000.0,30000.0,30769.0,12091.0,53034.0,25822.0,3352.0,67792.0
1999,32571.0,90909.0,24637.0,24637.0,58000.0,48176.0,25515.0,56366.0,30000.0,57429.0,84543.0,121000.0,100000.0,54202.0,22764.0,,18386.0,41952.0,,29842.0,32000.0,183333.0,31389.0,38974.0,22997.0,118182.0,10000.0,,30626.0,51629.0,,80188.0,125519.0,35967.0,70000.0,73435.0,16667.0,54927.0,,45895.0,25000.0,61404.0,,18074.0,60553.0,72130.0,46108.0,35000.0,35000.0,30769.0,14164.0,50714.0,27462.0,3197.0,63927.0
2000,28003.0,94262.0,23518.0,23518.0,46667.0,45933.0,33333.0,31083.0,30185.0,59933.0,84310.0,131000.0,100000.0,58156.0,27900.0,,15581.0,42000.0,,27450.0,33079.0,100000.0,28542.0,41381.0,23016.0,116418.0,10000.0,,44502.0,75000.0,,84549.0,133758.0,29394.0,69167.0,74503.0,15504.0,54333.0,,42903.0,25123.0,63158.0,,19541.0,62140.0,81374.0,45960.0,25000.0,25000.0,31783.0,15205.0,49881.0,28571.0,3037.0,61344.0
2001,29128.0,60222.0,22434.0,22434.0,80000.0,43446.0,13333.0,45920.0,20000.0,56314.0,93733.0,126611.0,100000.0,38806.0,37600.0,,17419.0,40667.0,,24500.0,33283.0,167538.0,22768.0,37248.0,23036.0,114925.0,10000.0,,30547.0,85000.0,,51606.0,129630.0,33696.0,72500.0,74945.0,12667.0,58400.0,,40000.0,25000.0,63246.0,,16722.0,68198.0,62957.0,47278.0,40000.0,40000.0,27294.0,8401.0,72286.0,27778.0,2876.0,89466.0
2002,27637.0,51408.0,21383.0,21383.0,56000.0,32227.0,33333.0,28657.0,25000.0,40344.0,95355.0,120833.0,100000.0,66116.0,42363.0,,22569.0,40000.0,,21333.0,34615.0,167538.0,21366.0,43090.0,23055.0,116418.0,10000.0,,73245.0,75000.0,,73601.0,129706.0,30812.0,75385.0,73660.0,12000.0,49478.0,,41667.0,25186.0,63298.0,,18837.0,57081.0,88340.0,44628.0,45000.0,45000.0,29941.0,11985.0,75970.0,27273.0,2714.0,76892.0
2003,27305.0,61333.0,20364.0,20364.0,48000.0,38410.0,33333.0,42912.0,32563.0,60727.0,95208.0,123077.0,100000.0,60221.0,28244.0,,15654.0,45983.0,,22818.0,33421.0,167468.0,21954.0,41089.0,23134.0,98667.0,10000.0,133878.0,58708.0,85000.0,,53164.0,133304.0,34581.0,76776.0,71983.0,14000.0,57671.0,,46186.0,25000.0,61055.0,,19778.0,56384.0,83630.0,50000.0,45000.0,45000.0,17588.0,14369.0,63673.0,27000.0,2563.0,82297.0
2004,27036.0,61176.0,19376.0,19376.0,56000.0,53644.0,33333.0,59076.0,40000.0,51613.0,103005.0,125000.0,110000.0,55330.0,28577.0,,14052.0,42857.0,,20900.0,33735.0,198810.0,21237.0,37445.0,23271.0,102853.0,10000.0,134532.0,63985.0,88771.0,,58182.0,147500.0,42361.0,66661.0,77603.0,18000.0,54788.0,,45361.0,25289.0,62099.0,,17006.0,56238.0,89492.0,33146.0,41667.0,41667.0,32059.0,14142.0,72857.0,26571.0,2426.0,86216.0
2005,25571.0,60913.0,18418.0,18418.0,56000.0,36818.0,31449.0,57766.0,41531.0,49286.0,99111.0,123077.0,120000.0,57592.0,28718.0,,18858.0,41429.0,12321.0,21556.0,33212.0,200000.0,18274.0,49881.0,23409.0,104184.0,10181.0,134987.0,62196.0,78709.0,,67267.0,173500.0,47544.0,71130.0,65170.0,12366.0,59500.0,,48223.0,25349.0,62910.0,,17075.0,48604.0,86164.0,36266.0,46154.0,46154.0,30000.0,14981.0,78837.0,28467.0,2296.0,81405.0
2006,25417.0,63826.0,17489.0,17489.0,58333.0,29317.0,33333.0,60470.0,63333.0,52727.0,102674.0,128077.0,140000.0,47219.0,,,17500.0,70000.0,16964.0,27077.0,33462.0,200000.0,21442.0,59958.0,23546.0,101828.0,10000.0,134733.0,64225.0,74019.0,,40304.0,160000.0,61325.0,76815.0,57565.0,13602.0,50975.0,36162.0,46618.0,25000.0,63869.0,,16042.0,49333.0,81285.0,34493.0,46667.0,46667.0,40000.0,18692.0,56528.0,28125.0,1850.0,88048.0
2007,29938.0,59800.0,16588.0,16588.0,68717.0,43902.0,33333.0,44041.0,68462.0,53261.0,106747.0,123077.0,140605.0,51461.0,,41392.0,13862.0,86667.0,19643.0,19571.0,32593.0,200000.0,20987.0,41942.0,23684.0,104274.0,10000.0,137946.0,51077.0,55514.0,,34397.0,150000.0,56485.0,61424.0,48935.0,14667.0,45988.0,34342.0,34119.0,25512.0,64137.0,,19143.0,52052.0,117738.0,32304.0,44444.0,44444.0,30000.0,13093.0,56707.0,26840.0,2095.0,81491.0
2008,31656.0,60333.0,15715.0,15715.0,65331.0,47716.0,33333.0,58889.0,28000.0,52632.0,107505.0,128571.0,170000.0,45390.0,,16218.0,16451.0,120000.0,16923.0,22586.0,32729.0,200000.0,24645.0,41507.0,23821.0,143294.0,10000.0,139577.0,34359.0,30000.0,,92666.0,150545.0,42715.0,68919.0,81109.0,16667.0,49004.0,34677.0,35391.0,25597.0,64382.0,,40324.0,54566.0,103260.0,37500.0,45000.0,45000.0,50000.0,16655.0,57907.0,22357.0,1917.0,78926.0
2009,29262.0,60836.0,14868.0,14868.0,65704.0,45741.0,33065.0,47680.0,25000.0,54228.0,107697.0,130113.0,180000.0,50690.0,,24880.0,22941.0,97500.0,14141.0,25529.0,32696.0,183191.0,24362.0,55598.0,23959.0,316581.0,10484.0,141104.0,43949.0,60000.0,,89700.0,130000.0,39092.0,50718.0,85385.0,15828.0,50101.0,35377.0,41872.0,25185.0,61700.0,,40324.0,52262.0,105444.0,33333.0,47619.0,47619.0,40000.0,17855.0,53333.0,23627.0,1900.0,83666.0
2010,29319.0,81870.0,14047.0,14047.0,66632.0,44500.0,33574.0,47090.0,23333.0,53589.0,109509.0,126878.0,200000.0,51001.0,,10000.0,22087.0,46000.0,12745.0,23015.0,32606.0,146296.0,26420.0,42172.0,24096.0,310515.0,10886.0,137972.0,47650.0,45000.0,,58217.0,154819.0,44068.0,55452.0,86421.0,14773.0,53883.0,33844.0,43839.0,25000.0,61476.0,,40324.0,52061.0,106647.0,25448.0,49713.0,49713.0,40000.0,26377.0,35556.0,24167.0,1916.0,87716.0
2011,29909.0,96621.0,13251.0,13251.0,67983.0,42828.0,34428.0,50523.0,22105.0,50154.0,113416.0,126498.0,200000.0,50052.0,,20000.0,22308.0,46000.0,12255.0,22945.0,32521.0,175288.0,24652.0,44240.0,24234.0,307755.0,11211.0,136150.0,49608.0,40000.0,,58107.0,159766.0,44742.0,56428.0,71594.0,14773.0,53185.0,33209.0,44384.0,26462.0,61796.0,,28428.0,50736.0,100782.0,24737.0,51219.0,51219.0,36000.0,25941.0,80194.0,23582.0,1987.0,86264.0
2012,30013.0,114620.0,12500.0,12500.0,67029.0,40698.0,34896.0,49456.0,21538.0,51369.0,115134.0,123321.0,175402.0,49795.0,,23333.0,20128.0,18333.0,15534.0,23314.0,31481.0,218298.0,18940.0,42688.0,24371.0,320532.0,12963.0,137175.0,42488.0,40126.0,,59570.0,160951.0,42004.0,59483.0,85211.0,14418.0,35246.0,30954.0,46457.0,30000.0,63896.0,,28431.0,51466.0,106013.0,24878.0,51051.0,51051.0,36667.0,24390.0,37377.0,22698.0,1920.0,95761.0
2013,30279.0,169255.0,11733.0,11733.0,67954.0,40492.0,35428.0,48315.0,45556.0,50867.0,117058.0,126926.0,176645.0,49538.0,,26667.0,20454.0,64286.0,12281.0,23244.0,32384.0,222990.0,24522.0,48975.0,24508.0,369896.0,11789.0,138249.0,48031.0,40370.0,,61139.0,163736.0,45577.0,55038.0,86398.0,12969.0,52730.0,31674.0,60508.0,27808.0,63202.0,,29708.0,53817.0,105672.0,24615.0,52056.0,52056.0,40000.0,26251.0,37097.0,21773.0,1852.0,100402.0
2014,30545.0,149872.0,11026.0,11026.0,68878.0,40000.0,35960.0,44801.0,50000.0,50365.0,118982.0,125405.0,186349.0,49281.0,,16667.0,23106.0,20000.0,,23175.0,32585.0,244947.0,22979.0,37423.0,24646.0,310000.0,11106.0,138553.0,48031.0,40000.0,,61789.0,166522.0,50273.0,54211.0,75135.0,15350.0,35632.0,32141.0,60707.0,26621.0,63268.0,,28877.0,49315.0,106954.0,25149.0,53061.0,53061.0,40000.0,28972.0,46544.0,19425.0,1785.0,99904.0
