,Cuba,USSR,Indonesia,South Africa,Angola,Madagascar,Pakistan,Malaysia,Thailand,Ethiopia,Bangladesh,Democratic Republic of the Congo,Nigeria,Ethiopia PDR,Mali,Russian Federation,Brazil,China,Mozambique,"China, mainland",El Salvador,Chile,Spain,Central African Republic,Myanmar,Guatemala,India
2005,49134.0,,13211.0,8868.0,8408.0,7144.0,6111.0,28469.0,12474.0,4182.0,16667.0,7603.0,11969.0,,6102.0,22652.0,16145.0,36683.0,5500.0,36683.0,8306.0,10000.0,,1921.0,8852.0,9349.0,11082.0
2006,51140.0,,15357.0,8634.0,8184.0,6997.0,6366.0,29288.0,13206.0,4037.0,13268.0,7692.0,12178.0,,6063.0,27322.0,15691.0,42444.0,5469.0,42444.0,8070.0,9684.0,,1915.0,10211.0,9117.0,11357.0
2007,53030.0,,15667.0,8405.0,7701.0,6846.0,6303.0,30108.0,12893.0,3890.0,12470.0,7706.0,12383.0,,6035.0,29526.0,15542.0,43500.0,5500.0,43500.0,8009.0,9572.0,,1926.0,9907.0,8645.0,11950.0
2008,54831.0,,15185.0,8185.0,7593.0,6692.0,6197.0,30927.0,14534.0,3742.0,11709.0,7781.0,12581.0,,6006.0,35414.0,13388.0,46375.0,5484.0,46375.0,7899.0,9452.0,,1926.0,10411.0,8345.0,13200.0
2009,56567.0,,15000.0,7979.0,7480.0,6534.0,6175.0,31746.0,13850.0,3592.0,10993.0,7767.0,12774.0,,5973.0,36462.0,14927.0,45833.0,5500.0,45833.0,7790.0,9326.0,,1927.0,10265.0,7851.0,10965.0
2010,58260.0,,15146.0,7792.0,6500.0,6375.0,6152.0,32565.0,14559.0,3444.0,10329.0,7820.0,12960.0,,5769.0,37398.0,12623.0,51428.0,5441.0,51428.0,7680.0,9196.0,,1800.0,10580.0,7606.0,12230.0
2011,59932.0,,15587.0,7626.0,7380.0,6214.0,6130.0,33107.0,14335.0,3298.0,9727.0,7874.0,13138.0,,5714.0,38636.0,13860.0,54621.0,5493.0,54621.0,7570.0,9062.0,,1998.0,11206.0,7388.0,12714.0
2012,61111.0,,14764.0,7043.0,7517.0,5700.0,6107.0,34205.0,14034.0,2825.0,7917.0,7928.0,13900.0,,5791.0,38636.0,12850.0,54269.0,5429.0,54269.0,7460.0,8636.0,,2160.0,11185.0,6875.0,12989.0
2013,63784.0,,14608.0,7500.0,7250.0,5588.0,6084.0,34525.0,14050.0,2825.0,7917.0,7982.0,13900.0,,5684.0,38636.0,14371.0,50097.0,5429.0,50097.0,7350.0,8391.0,,2240.0,11400.0,6875.0,10800.0
2014,62222.0,,14452.0,7350.0,7097.0,5691.0,6062.0,31607.0,14050.0,2891.0,8611.0,8036.0,13536.0,,5696.0,37879.0,13883.0,52829.0,5337.0,52829.0,7240.0,8604.0,,2143.0,11614.0,7000.0,11819.0
