,Australia & New Zealand,Jamaica,Puerto Rico,American Samoa,Singapore,Syrian Arab Republic,Israel,Norway,Philippines,Iraq,Madagascar,United Kingdom,The former Yugoslav Republic of Macedonia,Thailand,Belize,Indonesia,Ethiopia,Sudan (former),Guyana,Costa Rica,Italy,Morocco,Germany,Comoros,Tunisia,Albania,China,Burkina Faso,Paraguay,Niger,"China, Hong Kong SAR",Democratic People's Republic of Korea,Switzerland,South Sudan,Spain,Kyrgyzstan,Libya,Bahamas,Cyprus,"China, Taiwan Province of",Ecuador,Réunion,Japan,Republic of Moldova,Jordan,Belgium-Luxembourg,Angola,Ethiopia PDR,Sudan,Latvia,Azerbaijan,France,Republic of Korea,Nigeria,Hungary,Turkey,Portugal,Mexico,Venezuela (Bolivarian Republic of),Kazakhstan,Djibouti,Brunei Darussalam,Greece,Ukraine,"China, mainland",French Polynesia,Tajikistan,Algeria,United Arab Emirates,Côte d'Ivoire,Polynesia,New Zealand,Bulgaria,Netherlands,Occupied Palestinian Territory
2001,245000.0,17507.0,4800.0,11.0,-1.0,51136.0,7500.0,17700.0,0.0,121000.0,229.0,13300.0,3500.0,198533.0,338.0,,20720.0,400.0,-1.0,60.0,0.0,16000.0,-1.0,163.0,139000.0,13000.0,429481.0,18889.0,11893.0,4974.0,3807.0,95000.0,24199.0,,26520.0,,53000.0,-1.0,390.0,125674.0,101162.0,4176.0,526800.0,-1.0,10596.0,,14477.0,,,-1.0,-1.0,46668.0,635713.0,220761.0,5000.0,225000.0,2801.0,126592.0,-1.0,1000.0,110.0,78.0,27000.0,-1.0,300000.0,39.0,,244.0,34346.0,5700.0,50.0,245000.0,9900.0,17924.0,8695.0
2002,210000.0,8225.0,5000.0,16.0,-1.0,75825.0,8100.0,19522.0,0.0,130000.0,228.0,11300.0,2000.0,193899.0,536.0,,21242.0,500.0,-1.0,60.0,0.0,16374.0,-1.0,167.0,135000.0,13000.0,547343.0,18854.0,12000.0,4968.0,3836.0,94187.0,26810.0,,26495.0,,52298.0,-1.0,390.0,143507.0,98419.0,4191.0,518700.0,-1.0,44392.0,,15608.0,,,-1.0,-1.0,54125.0,566828.0,220000.0,3022.0,210000.0,2894.0,130000.0,35907.0,1000.0,115.0,76.0,26000.0,-1.0,400000.0,35.0,,250.0,13229.0,5483.0,51.0,210000.0,7400.0,23576.0,3912.0
2003,210000.0,8648.0,5102.0,21.0,-1.0,44070.0,8400.0,19890.0,0.0,148000.0,232.0,16400.0,2503.0,173336.0,816.0,,20000.0,615.0,-1.0,65.0,0.0,16775.0,-1.0,170.0,131000.0,12000.0,643620.0,18907.0,11825.0,4952.0,3949.0,96000.0,24500.0,,19656.0,-1.0,51118.0,-1.0,75.0,139671.0,70145.0,4207.0,576700.0,-1.0,19952.0,,16720.0,,,-1.0,-1.0,52433.0,534903.0,219880.0,795.0,220000.0,2990.0,135000.0,38223.0,1000.0,120.0,84.0,29000.0,24100.0,500000.0,38.0,,250.0,15944.0,6000.0,59.0,210000.0,8000.0,45000.0,5449.0
2004,250000.0,8698.0,4939.0,20.0,-1.0,45986.0,10500.0,21133.0,0.0,170000.0,235.0,14400.0,2510.0,232537.0,591.0,,22706.0,958.0,-1.0,65.0,0.0,17000.0,-1.0,174.0,105000.0,13000.0,703353.0,18740.0,18534.0,4974.0,4062.0,95265.0,37374.0,,21694.0,-1.0,49573.0,-1.0,75.0,134291.0,77156.0,4223.0,547100.0,-1.0,7456.0,,18383.0,,,-1.0,-1.0,49454.0,700201.0,220309.0,1057.0,207000.0,3087.0,140000.0,42574.0,1500.0,121.0,99.0,28033.0,32100.0,565000.0,38.0,,264.0,15500.0,5926.0,58.0,250000.0,10000.0,24000.0,3743.0
2005,165000.0,10874.0,3770.0,21.0,-1.0,47583.0,8800.0,19148.0,0.0,200000.0,241.0,24100.0,2483.0,213060.0,979.0,,23988.0,574.0,-1.0,70.0,7.0,17708.0,-1.0,177.0,139000.0,13800.0,704425.0,17850.0,10600.0,4999.0,4186.0,97000.0,23182.0,,21704.0,-1.0,47832.0,-1.0,75.0,100239.0,92649.0,4242.0,554000.0,-1.0,7422.0,,18751.0,,,-1.0,-1.0,46576.0,513174.0,220500.0,756.0,200000.0,3185.0,115259.0,47642.0,1600.0,122.0,67.0,25959.0,34400.0,600000.0,38.0,,271.0,16000.0,6061.0,59.0,165000.0,4000.0,36000.0,2914.0
2006,210000.0,11037.0,4345.0,21.0,-1.0,53052.0,10000.0,18728.0,0.0,260000.0,228.0,24500.0,2431.0,225378.0,677.0,,25316.0,632.0,-1.0,70.0,31.0,18000.0,44875.0,181.0,235000.0,13299.0,793959.0,17000.0,11170.0,4911.0,4300.0,95000.0,25056.0,,29258.0,,46602.0,-1.0,78.0,109659.0,93000.0,4250.0,554600.0,-1.0,3698.0,,19774.0,,,-1.0,-1.0,45411.0,542981.0,221000.0,1009.0,200875.0,3200.0,78773.0,47513.0,1500.0,120.0,62.0,25482.0,32500.0,680000.0,38.0,-1.0,280.0,16500.0,6253.0,59.0,210000.0,10000.0,33000.0,3688.0
2007,192331.0,10840.0,3850.0,20.0,-1.0,46364.0,9506.0,18421.0,0.0,310000.0,249.0,19900.0,2080.0,208995.0,392.0,,26691.0,689.0,-1.0,75.0,32.0,17458.0,50419.0,190.0,180000.0,13000.0,810225.0,18000.0,15644.0,4950.0,4400.0,98000.0,27226.0,,34278.0,,45504.0,-1.0,78.0,105825.0,91000.0,4264.0,558700.0,-1.0,2928.0,,20955.0,,,-1.0,-1.0,43613.0,488814.0,225000.0,1033.0,185140.0,3500.0,80000.0,52002.0,1500.0,132.0,86.0,24037.0,30600.0,700000.0,40.0,,287.0,21588.0,6465.0,60.0,192331.0,7258.0,32000.0,2707.0
2008,200000.0,10190.0,4382.0,20.0,-1.0,47287.0,10418.0,22711.0,0.0,336244.0,245.0,15350.0,2339.0,199435.0,862.0,,28161.0,747.0,-1.0,75.0,32.0,15300.0,56803.0,200.0,235000.0,25780.0,836473.0,18548.0,4632.0,5288.0,4400.0,100000.0,26989.0,,38000.0,,45842.0,-1.0,75.0,107073.0,92000.0,4279.0,575500.0,-1.0,4989.0,,21890.0,,,-1.0,1500.0,43262.0,505056.0,226000.0,2425.0,168223.0,3600.0,83178.0,50552.0,2000.0,137.0,90.0,24000.0,33100.0,725000.0,40.0,,300.0,23327.0,6653.0,60.0,200000.0,6935.0,34028.0,2805.0
2009,203000.0,10181.0,4462.0,20.0,-1.0,74900.0,6799.0,20552.0,0.0,308239.0,277.0,13900.0,2308.0,201662.0,693.0,,29970.0,804.0,-1.0,80.0,32.0,18500.0,72604.0,210.0,210000.0,26306.0,887790.0,18653.0,4828.0,5300.0,4600.0,95000.0,37425.0,,34060.0,,47159.0,-1.0,70.0,123190.0,95000.0,4294.0,575100.0,-1.0,8876.0,,22828.0,,,-1.0,2500.0,50532.0,446991.0,228680.0,1959.0,169271.0,3800.0,95501.0,50000.0,3000.0,142.0,87.0,27000.0,35100.0,760000.0,30.0,,301.0,22484.0,7000.0,50.0,203000.0,4591.0,35688.0,2718.0
2010,216273.0,11194.0,4531.0,20.0,-1.0,51767.0,4292.0,17625.0,0.0,291212.0,319.0,14400.0,2300.0,180696.0,863.0,,34058.0,862.0,-1.0,80.0,32.0,26000.0,59963.0,221.0,220200.0,33415.0,900705.0,18702.0,5792.0,5350.0,4500.0,90000.0,31679.0,,32388.0,,50000.0,577.0,70.0,111205.0,94412.0,4308.0,541300.0,-1.0,3512.0,,24589.0,,,-1.0,2000.0,60187.0,417229.0,231860.0,1781.0,165478.0,3817.0,93966.0,40775.0,3100.0,147.0,77.0,23905.0,34800.0,785000.0,30.0,,300.0,22947.0,7300.0,50.0,216273.0,6243.0,37045.0,2852.0
2011,222471.0,13908.0,4599.0,20.0,-1.0,69403.0,4006.0,23068.0,0.0,326616.0,347.0,14800.0,2251.0,195228.0,1494.0,,33296.0,919.0,-1.0,85.0,32.0,26583.0,75730.0,231.0,210000.0,38000.0,923526.0,18704.0,4925.0,5684.0,4700.0,87700.0,43356.0,,22172.0,,52555.0,589.0,71.0,105826.0,91478.0,4323.0,549500.0,-1.0,1094.0,,24519.0,,,-1.0,2000.0,60739.0,482143.0,236000.0,1526.0,153823.0,3886.0,94393.0,45292.0,2500.0,152.0,85.0,23046.0,33300.0,813000.0,30.0,,320.0,23409.0,7255.0,50.0,222471.0,6435.0,38507.0,2189.0
2012,249158.0,14142.0,5000.0,20.0,-1.0,44491.0,3442.0,22024.0,0.0,341014.0,375.0,14443.0,2200.0,220491.0,808.0,,34000.0,,-1.0,87.0,32.0,30000.0,103648.0,241.0,213000.0,28929.0,922482.0,20000.0,4925.0,6500.0,5000.0,90000.0,41546.0,330.0,21675.0,,55000.0,601.0,75.0,97482.0,89374.0,5250.0,544100.0,-1.0,2988.0,,25500.0,,-1.0,-1.0,2000.0,60245.0,356734.0,240000.0,1750.0,150928.0,4000.0,94820.0,38787.0,3000.0,170.0,90.0,22286.0,35000.0,820000.0,32.0,,330.0,23871.0,7600.0,52.0,249158.0,6393.0,38000.0,1939.0
2013,235159.0,16296.0,4575.0,20.0,-1.0,53472.0,3617.0,25386.0,0.0,326762.0,370.0,13681.0,2174.0,128930.0,641.0,,34500.0,,-1.0,89.0,32.0,27701.0,87183.0,251.0,261000.0,28310.0,937689.0,18000.0,4925.0,6328.0,4900.0,90000.0,38046.0,310.0,19299.0,,57078.0,613.0,80.0,102789.0,90094.0,4248.0,541400.0,-1.0,3667.0,,26000.0,,,-1.0,2000.0,63815.0,430580.0,235000.0,1750.0,153478.0,3999.0,95246.0,47460.0,3200.0,162.0,91.0,21578.0,34790.0,830000.0,32.0,,330.0,24333.0,7700.0,53.0,235159.0,6234.0,41811.0,1621.0
2014,224254.0,12436.0,4513.0,21.0,-1.0,30560.0,3369.0,28094.0,0.0,207422.0,373.0,13761.0,2180.0,131000.0,868.0,,35056.0,,-1.0,91.0,32.0,24930.0,89245.0,229.0,267000.0,26770.0,952161.0,18103.0,6000.0,5975.0,4723.0,91041.0,42018.0,340.0,20509.0,,50318.0,625.0,85.0,105647.0,90813.0,4224.0,545300.0,-1.0,5090.0,,26357.0,,,-1.0,2000.0,57892.0,462695.0,235000.0,1760.0,148255.0,4013.0,95673.0,52626.0,3600.0,166.0,93.0,21982.0,31630.0,841791.0,33.0,,338.0,24795.0,7696.0,53.0,224254.0,6075.0,46711.0,1403.0
