,USSR,Turkmenistan,Australia & New Zealand,Australia,Iraq,Pakistan,Nepal,Bulgaria,Libya,Italy,Lebanon,Yemen,Uzbekistan,Occupied Palestinian Territory,Burkina Faso,Morocco,Slovenia,Chile,Argentina,Spain,Syrian Arab Republic,Cyprus,Israel,Swaziland,Republic of Moldova,Jordan,Afghanistan,The former Yugoslav Republic of Macedonia,Georgia,Greece,Azerbaijan,France,Bosnia and Herzegovina,Hungary,Turkey,Kyrgyzstan,Tunisia,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Gambia,United States of America,Mexico,Ukraine,"China, mainland",Tajikistan,Algeria,United Arab Emirates,Côte d'Ivoire,Croatia,Portugal,China
1999,,7500.0,36000.0,36000.0,11607.0,46435.0,10000.0,3889.0,5000.0,11574.0,44000.0,6862.0,13333.0,6823.0,5028.0,5849.0,,12542.0,19583.0,4471.0,32054.0,3385.0,12613.0,9450.0,16667.0,22643.0,20000.0,15996.0,9144.0,15106.0,2004.0,38920.0,4826.0,7880.0,23757.0,10396.0,3053.0,,10763.0,18845.0,,32063.0,12131.0,500.0,21429.0,7600.0,9546.0,92564.0,5443.0,33485.0,2919.0,21429.0
2000,,6250.0,35959.0,35959.0,10638.0,30130.0,10000.0,3333.0,5032.0,11837.0,38129.0,6824.0,20000.0,6976.0,5000.0,4713.0,,13486.0,19237.0,3359.0,32783.0,5521.0,18349.0,9449.0,16667.0,34614.0,17143.0,17822.0,8337.0,12755.0,2117.0,42631.0,4896.0,7556.0,26111.0,11364.0,2974.0,,9292.0,18769.0,,26342.0,15902.0,480.0,21250.0,7192.0,9754.0,86585.0,5474.0,70200.0,6964.0,21250.0
2001,,6875.0,35551.0,35551.0,11562.0,30259.0,10000.0,3880.0,5034.0,11994.0,36427.0,6713.0,22128.0,6632.0,5052.0,5938.0,,14131.0,19189.0,3865.0,32783.0,1515.0,15892.0,9444.0,16667.0,20981.0,16667.0,18182.0,8823.0,13795.0,2899.0,42784.0,5177.0,6900.0,23497.0,12379.0,1581.0,,9246.0,18686.0,,28402.0,15000.0,364.0,20000.0,7114.0,9340.0,48205.0,5453.0,85800.0,4067.0,20000.0
2002,,6667.0,35357.0,35357.0,11000.0,27630.0,10000.0,3903.0,5038.0,12191.0,35803.0,6648.0,25455.0,7663.0,5065.0,6143.0,9383.0,15476.0,19200.0,4305.0,39717.0,5556.0,46619.0,9722.0,16667.0,51642.0,20514.0,17333.0,8763.0,18783.0,3164.0,42500.0,4592.0,9073.0,23429.0,12500.0,914.0,,9554.0,18597.0,,36275.0,20000.0,491.0,20560.0,7088.0,11648.0,49189.0,5455.0,87200.0,8030.0,20560.0
2003,,6154.0,33276.0,33276.0,11617.0,25661.0,10000.0,2139.0,5045.0,10733.0,42746.0,6584.0,27586.0,7694.0,5082.0,5386.0,9251.0,14915.0,19120.0,3342.0,41653.0,1409.0,28112.0,9615.0,16667.0,44125.0,24561.0,18475.0,8888.0,18612.0,2914.0,30057.0,4537.0,7179.0,23597.0,14638.0,3077.0,,4678.0,18384.0,,35325.0,21579.0,948.0,21204.0,7143.0,10850.0,24897.0,5652.0,62680.0,6252.0,21204.0
2004,,9091.0,28700.0,28700.0,11618.0,23640.0,10000.0,2777.0,5000.0,12518.0,44355.0,6471.0,31667.0,12770.0,5114.0,4476.0,9133.0,15000.0,19093.0,1391.0,29482.0,1392.0,16840.0,9600.0,16667.0,43625.0,12250.0,15996.0,9008.0,26569.0,4406.0,13333.0,4497.0,10087.0,21449.0,15906.0,3034.0,,4325.0,18049.0,,34074.0,15000.0,741.0,21818.0,7189.0,7189.0,21667.0,5600.0,53333.0,3655.0,21818.0
2005,,8333.0,28963.0,28963.0,11615.0,22506.0,10000.0,1532.0,5050.0,14237.0,44921.0,6414.0,31294.0,13470.0,5149.0,4990.0,9015.0,16897.0,19056.0,3483.0,52603.0,1808.0,35636.0,9995.0,16667.0,49813.0,14696.0,12775.0,9125.0,27363.0,4051.0,14362.0,4474.0,8683.0,26471.0,17208.0,2263.0,,6319.0,17708.0,,29969.0,14862.0,1200.0,20833.0,7259.0,8219.0,20000.0,5769.0,42794.0,3633.0,20833.0
2006,,6250.0,22874.0,22874.0,11619.0,22528.0,10000.0,1025.0,5098.0,13800.0,44944.0,6380.0,34569.0,11612.0,5190.0,5804.0,8897.0,25862.0,18846.0,5403.0,24268.0,1294.0,34911.0,9375.0,16667.0,65500.0,16667.0,13700.0,9286.0,29326.0,11213.0,13536.0,4750.0,12624.0,26752.0,18540.0,3394.0,,8077.0,26667.0,,36049.0,16102.0,500.0,23137.0,7674.0,9076.0,20526.0,5517.0,29462.0,3272.0,23137.0
2007,,6667.0,24512.0,24512.0,8667.0,21616.0,10000.0,1275.0,5146.0,14088.0,47040.0,6000.0,30833.0,10462.0,5159.0,5613.0,8780.0,29310.0,18519.0,3329.0,22223.0,1328.0,32390.0,10475.0,16667.0,42843.0,26234.0,14444.0,9872.0,27378.0,12457.0,12305.0,4151.0,8792.0,28862.0,19898.0,3222.0,,11500.0,16228.0,,46830.0,16926.0,2000.0,24489.0,7273.0,8342.0,21250.0,5619.0,12500.0,3050.0,24489.0
2008,,6250.0,23569.0,23569.0,11539.0,24063.0,10000.0,526.0,5192.0,14930.0,47619.0,6000.0,29934.0,14067.0,5325.0,6025.0,8662.0,29032.0,19010.0,3177.0,20654.0,1217.0,34867.0,11080.0,16667.0,42939.0,35000.0,15223.0,10000.0,23793.0,12165.0,8185.0,3942.0,7816.0,30772.0,21276.0,3219.0,,17360.0,10000.0,,51238.0,16857.0,1000.0,25888.0,7111.0,9933.0,14697.0,5650.0,19674.0,2582.0,25888.0
2009,,6250.0,32522.0,32522.0,11814.0,24000.0,8182.0,1000.0,5524.0,13422.0,51970.0,6326.0,29581.0,14585.0,5686.0,8421.0,8544.0,28986.0,19202.0,4811.0,22878.0,796.0,34594.0,11599.0,16667.0,32045.0,39154.0,14755.0,10000.0,27024.0,11854.0,9459.0,3605.0,6698.0,32185.0,22672.0,3158.0,,21659.0,14707.0,,39887.0,16787.0,2000.0,28000.0,7111.0,12055.0,14327.0,5526.0,35086.0,3407.0,28000.0
2010,,6250.0,30675.0,30675.0,12104.0,20052.0,7273.0,3143.0,5566.0,12550.0,50662.0,6250.0,28571.0,14027.0,5475.0,6133.0,8426.0,29287.0,20667.0,4070.0,14879.0,1644.0,103700.0,12124.0,10000.0,77284.0,49955.0,14563.0,9793.0,21364.0,12116.0,5832.0,3636.0,5556.0,30083.0,25000.0,3179.0,,21659.0,14321.0,,45371.0,16718.0,1111.0,29231.0,6809.0,14330.0,13291.0,5500.0,13403.0,2612.0,29231.0
2011,,6250.0,29615.0,29615.0,12405.0,19893.0,5000.0,5924.0,5660.0,13888.0,49044.0,6304.0,29929.0,14647.0,5408.0,6577.0,8324.0,31580.0,20667.0,3893.0,25236.0,1246.0,154701.0,12662.0,20000.0,102268.0,45000.0,14371.0,9801.0,20986.0,12880.0,5062.0,3909.0,6296.0,33091.0,25478.0,3249.0,,13540.0,13935.0,14519.0,56883.0,16655.0,1000.0,30000.0,7234.0,5627.0,13060.0,5817.0,16438.0,2857.0,30000.0
2012,,7273.0,40391.0,40391.0,17500.0,19835.0,3709.0,3649.0,5818.0,13131.0,51049.0,6383.0,24063.0,15186.0,5432.0,6556.0,8325.0,32711.0,16250.0,3998.0,12101.0,655.0,271552.0,15244.0,20000.0,60767.0,45960.0,14180.0,9770.0,21481.0,14675.0,8278.0,2227.0,5333.0,34307.0,27642.0,3595.0,,13532.0,11111.0,,49871.0,16876.0,2500.0,29655.0,7143.0,8698.0,12828.0,6167.0,17038.0,2640.0,29655.0
2013,,6875.0,59470.0,59470.0,13020.0,21118.0,6855.0,18065.0,5725.0,13061.0,51563.0,6992.0,28571.0,15724.0,5467.0,5999.0,8326.0,33915.0,17580.0,2679.0,11630.0,1532.0,425782.0,13713.0,20000.0,69353.0,29910.0,13988.0,9851.0,17097.0,16778.0,5949.0,2227.0,7647.0,32545.0,28013.0,2721.0,,13530.0,12796.0,16471.0,50375.0,17096.0,2000.0,29655.0,7556.0,12965.0,12597.0,6250.0,8053.0,1561.0,29655.0
2014,,6875.0,55235.0,55235.0,12782.0,20324.0,6547.0,6986.0,5677.0,13512.0,52077.0,6708.0,28750.0,16262.0,5501.0,6350.0,8326.0,35119.0,19006.0,3713.0,4826.0,1401.0,186111.0,13242.0,20000.0,69353.0,19996.0,13796.0,9931.0,16226.0,11585.0,9409.0,2500.0,7778.0,27102.0,28333.0,3427.0,,13371.0,10000.0,,43897.0,17317.0,,30588.0,7556.0,13443.0,12366.0,6080.0,8617.0,3129.0,30588.0
